Tag;Tag_depth;Depth_1;Depth_2;Depth_3;Depth_4;Depth_5;Depth_6;definition_en
kaiseki restaurant;5;dining and drinking;restaurant;asian restaurant;japanese restaurant;kaiseki restaurant;;A Japanese fine dining restaurant serving a multi-course meal with seasonal dishes, presented with great attention to detail.
art museum;3;arts and entertainment;museum;art museum;;;;An institution that collects, preserves, and exhibits works of art for public viewing and education.
rental car location;3;travel and transportation;transport hub;rental car location;;;;A place or business where customers can rent vehicles for a specified period of time.
shabu-shabu restaurant;5;dining and drinking;restaurant;asian restaurant;japanese restaurant;shabu-shabu restaurant;;A restaurant specializing in shabu-shabu, a Japanese hot pot dish where thin slices of meat and vegetables are cooked in broth at the table.
peking duck restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;peking duck restaurant;;A restaurant specializing in Peking duck, a traditional Chinese dish with crispy roasted duck served with pancakes and condiments.
loans agency;3;business and professional services;financial service;loans agency;;;;An organization or company that provides loans to individuals or businesses, usually for a fee or interest.
pilavcı;4;dining and drinking;restaurant;turkish restaurant;pilavcı;;;A Turkish eatery or vendor specializing in pilav, a traditional rice dish often served with meat, vegetables, or spices.
sewer contractor;3;business and professional services;home improvement service;sewer contractor;;;;A professional or company that builds, repairs, or maintains sewer systems and wastewater infrastructure.
pet café;3;dining and drinking;cafe, coffee, and tea house;pet café;;;;A café where customers can enjoy food and drinks while spending time with animals, often cats or dogs.
belgian restaurant;3;dining and drinking;restaurant;belgian restaurant;;;;A restaurant offering Belgian cuisine, such as mussels with fries, stews, waffles, and Belgian beers.
cosmetics store;2;retail;cosmetics store;;;;;A retail shop that sells beauty products including makeup, skincare, fragrances, and haircare.
automotive service;2;business and professional services;automotive service;;;;;A business providing maintenance and repair services for vehicles.
pier;2;travel and transportation;pier;;;;;A structure built out into the water from the shore, used for docking boats, fishing, or as a promenade.
food truck;2;dining and drinking;food truck;;;;;A mobile kitchen on wheels that prepares and sells food directly to customers in public areas.
toll plaza;2;travel and transportation;toll plaza;;;;;A designated area on a road or highway where drivers pay a fee to continue traveling on the route.
family medicine doctor;3;health and medicine;physician;family medicine doctor;;;;A physician trained to provide comprehensive health care for individuals and families across all ages.
cemetery;2;community and government;cemetery;;;;;A designated area where the deceased are buried, often marked with gravestones or monuments.
tunnel;2;landmarks and outdoors;tunnel;;;;;An underground or underwater passage built for transportation or infrastructure purposes.
college and university;3;community and government;education;college and university;;;;Institutions of higher education that provide academic degrees and research opportunities.
golf store;3;retail;sporting goods retail;golf store;;;;A retail shop specializing in golf equipment, apparel, and accessories.
environmental organization;3;community and government;organization;environmental organization;;;;An entity dedicated to protecting the environment and promoting sustainable practices.
hookah bar;3;dining and drinking;bar;hookah bar;;;;An establishment where people gather to smoke flavored tobacco from a water pipe, also known as a hookah or shisha.
mental health service;2;health and medicine;mental health service;;;;;A facility or program providing treatment, counseling, or support for mental health conditions.
pest control service;3;business and professional services;home improvement service;pest control service;;;;A business that manages and eliminates pests such as insects, rodents, or other unwanted animals.
mauritian restaurant;4;dining and drinking;restaurant;african restaurant;mauritian restaurant;;;A restaurant serving Mauritian cuisine, which blends Indian, Creole, Chinese, and French culinary traditions.
dance hall;2;arts and entertainment;dance hall;;;;;A venue designed for social dancing and hosting dance-related events.
playground;3;landmarks and outdoors;park;playground;;;;An outdoor area equipped with structures and equipment for children to play on.
kosher restaurant;4;dining and drinking;restaurant;jewish restaurant;kosher restaurant;;;A restaurant that prepares and serves food in accordance with Jewish dietary laws (kashrut).
agriculture and forestry service;2;business and professional services;agriculture and forestry service;;;;;An organization providing support, regulation, and management for farming and forest resources.
chemicals and gasses manufacturer;2;business and professional services;chemicals and gasses manufacturer;;;;;A company that produces chemical substances and industrial gases for various industries.
financial service;2;business and professional services;financial service;;;;;An organization offering banking, insurance, investment, or other money-related services.
notary;3;business and professional services;legal service;notary;;;;A public official authorized to authenticate legal documents and witness signatures.
prison;2;community and government;prison;;;;;A secure facility where individuals are confined as punishment for crimes.
tennis stadium;3;arts and entertainment;stadium;tennis stadium;;;;A sports venue designed for hosting tennis matches and tournaments.
lighting store;3;retail;furniture and home store;lighting store;;;;A retail shop selling lighting fixtures, lamps, and bulbs for residential or commercial use.
rescue service;4;community and government;government building;law enforcement and public safety;rescue service;;;An organization providing emergency assistance to people in dangerous or life-threatening situations.
residential building;2;community and government;residential building;;;;;A structure designed primarily to provide housing for individuals or families.
cafeteria;2;dining and drinking;cafeteria;;;;;A self-service dining area where customers select food from a counter and seat themselves.
pet sitting and boarding service;3;business and professional services;pet service;pet sitting and boarding service;;;;A service that cares for and houses pets while their owners are away.
caucasian restaurant;3;dining and drinking;restaurant;caucasian restaurant;;;;A restaurant offering dishes from the Caucasus region, such as Georgian, Armenian, or Azerbaijani cuisine.
auction house;2;retail;auction house;;;;;A business that sells goods or property to the highest bidder during public sales events.
betawinese restaurant;5;dining and drinking;restaurant;asian restaurant;indonesian restaurant;betawinese restaurant;;A restaurant serving Betawi cuisine, the traditional food of Jakarta, Indonesia.
sundanese restaurant;5;dining and drinking;restaurant;asian restaurant;indonesian restaurant;sundanese restaurant;;A restaurant specializing in Sundanese cuisine from West Java, Indonesia, known for fresh vegetables and grilled dishes.
strip club;2;arts and entertainment;strip club;;;;;An entertainment venue where performers dance erotically, often removing their clothing.
shrine;3;community and government;spiritual center;shrine;;;;A place regarded as holy, typically dedicated to a deity, saint, or other religious figure.
general surgeon;3;health and medicine;physician;general surgeon;;;;A physician specialized in performing a wide range of surgical procedures.
afghan restaurant;3;dining and drinking;restaurant;afghan restaurant;;;;A restaurant offering traditional Afghan dishes such as kebabs, rice pilaf, and dumplings.
housing development;2;community and government;housing development;;;;;A planned group of residential buildings constructed as a single project.
water treatment service;2;business and professional services;water treatment service;;;;;A facility or company that purifies and processes water for safe consumption or use.
street;2;travel and transportation;street;;;;;A public road in a city or town, typically with buildings on one or both sides.
tennis club;4;sports and recreation;racquet sports;tennis;tennis club;;;A sports club that provides facilities for playing tennis and related activities.
southwestern french restaurant;4;dining and drinking;restaurant;french restaurant;southwestern french restaurant;;;A restaurant serving cuisine from the southwest of France, such as duck confit, cassoulet, and foie gras.
dive spot;2;landmarks and outdoors;dive spot;;;;;A location suitable for scuba diving, often featuring interesting underwater scenery or wildlife.
bistro;3;dining and drinking;restaurant;bistro;;;;A small, casual restaurant serving moderately priced meals in a relaxed setting.
jiangsu restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;jiangsu restaurant;;A restaurant specializing in Jiangsu cuisine from eastern China, known for its delicate flavors and presentation.
grilled meat restaurant;4;dining and drinking;restaurant;greek restaurant;grilled meat restaurant;;;A restaurant focusing on meat dishes cooked over an open flame or grill.
textiles store;2;retail;textiles store;;;;;A shop selling fabrics, cloth, and related materials for sewing or decoration.
pedestrian plaza;2;landmarks and outdoors;pedestrian plaza;;;;;A public space in a city designed for walking, gathering, and events, with no vehicle traffic.
rugby;2;sports and recreation;rugby;;;;;A team sport played with an oval ball that can be carried, passed, or kicked.
embassy or consulate;3;community and government;government building;embassy or consulate;;;;An official government office representing a country in a foreign nation, providing diplomatic and citizen services.
hyderabadi restaurant;4;dining and drinking;restaurant;indian restaurant;hyderabadi restaurant;;;A restaurant offering Hyderabadi cuisine from India, famous for its biryanis and spicy curries.
syrian restaurant;4;dining and drinking;restaurant;middle eastern restaurant;syrian restaurant;;;A restaurant serving Syrian cuisine, featuring dishes like kebabs, hummus, and tabbouleh.
property management office;3;business and professional services;real estate service;property management office;;;;A business that oversees the maintenance and administration of rental properties.
hubei restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;hubei restaurant;;A restaurant specializing in Hubei cuisine from central China, known for its freshwater fish dishes.
trailer park;2;community and government;trailer park;;;;;A residential area where mobile homes or trailers are located.
auditorium;2;business and professional services;auditorium;;;;;A large room or hall used for performances, lectures, or public gatherings.
racecourse;3;sports and recreation;race track;racecourse;;;;A track where horse races or other competitive races are held.
korean bbq restaurant;5;dining and drinking;restaurant;asian restaurant;korean restaurant;korean bbq restaurant;;A restaurant where diners cook marinated meats at their table on built-in grills, a style from Korea.
immigration attorney;3;business and professional services;legal service;immigration attorney;;;;A lawyer specializing in laws and procedures related to immigration and citizenship.
cha chaan teng;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;cha chaan teng;;A Hong Kong-style café serving a fusion of Chinese and Western comfort foods.
