word,definition_en
kaiseki restaurant,"A Japanese fine dining restaurant serving a multi-course meal with seasonal dishes, presented with great attention to detail."
art museum,"An institution that collects, preserves, and exhibits works of art for public viewing and education."
rental car location,A place or business where customers can rent vehicles for a specified period of time.
shabu-shabu restaurant,"A restaurant specializing in shabu-shabu, a Japanese hot pot dish where thin slices of meat and vegetables are cooked in broth at the table."
peking duck restaurant,"A restaurant specializing in Peking duck, a traditional Chinese dish with crispy roasted duck served with pancakes and condiments."
loans agency,"An organization or company that provides loans to individuals or businesses, usually for a fee or interest."
pilavcı,"A Turkish eatery or vendor specializing in pilav, a traditional rice dish often served with meat, vegetables, or spices."
sewer contractor,"A professional or company that builds, repairs, or maintains sewer systems and wastewater infrastructure."
pet café,"A café where customers can enjoy food and drinks while spending time with animals, often cats or dogs."
belgian restaurant,"A restaurant offering Belgian cuisine, such as mussels with fries, stews, waffles, and Belgian beers."
cosmetics store,"A retail shop that sells beauty products including makeup, skincare, fragrances, and haircare."
automotive service,A business providing maintenance and repair services for vehicles.
pier,"A structure built out into the water from the shore, used for docking boats, fishing, or as a promenade."
food truck,A mobile kitchen on wheels that prepares and sells food directly to customers in public areas.
toll plaza,A designated area on a road or highway where drivers pay a fee to continue traveling on the route.
family medicine doctor,A physician trained to provide comprehensive health care for individuals and families across all ages.
cemetery,"A designated area where the deceased are buried, often marked with gravestones or monuments."
tunnel,An underground or underwater passage built for transportation or infrastructure purposes.
college and university,Institutions of higher education that provide academic degrees and research opportunities.
golf store,"A retail shop specializing in golf equipment, apparel, and accessories."
environmental organization,An entity dedicated to protecting the environment and promoting sustainable practices.
hookah bar,"An establishment where people gather to smoke flavored tobacco from a water pipe, also known as a hookah or shisha."
mental health service,"A facility or program providing treatment, counseling, or support for mental health conditions."
pest control service,"A business that manages and eliminates pests such as insects, rodents, or other unwanted animals."
mauritian restaurant,"A restaurant serving Mauritian cuisine, which blends Indian, Creole, Chinese, and French culinary traditions."
dance hall,A venue designed for social dancing and hosting dance-related events.
playground,An outdoor area equipped with structures and equipment for children to play on.
kosher restaurant,A restaurant that prepares and serves food in accordance with Jewish dietary laws (kashrut).
agriculture and forestry service,"An organization providing support, regulation, and management for farming and forest resources."
chemicals and gasses manufacturer,A company that produces chemical substances and industrial gases for various industries.
financial service,"An organization offering banking, insurance, investment, or other money-related services."
notary,A public official authorized to authenticate legal documents and witness signatures.
prison,A secure facility where individuals are confined as punishment for crimes.
tennis stadium,A sports venue designed for hosting tennis matches and tournaments.
lighting store,"A retail shop selling lighting fixtures, lamps, and bulbs for residential or commercial use."
rescue service,An organization providing emergency assistance to people in dangerous or life-threatening situations.
residential building,A structure designed primarily to provide housing for individuals or families.
cafeteria,A self-service dining area where customers select food from a counter and seat themselves.
pet sitting and boarding service,A service that cares for and houses pets while their owners are away.
caucasian restaurant,"A restaurant offering dishes from the Caucasus region, such as Georgian, Armenian, or Azerbaijani cuisine."
auction house,A business that sells goods or property to the highest bidder during public sales events.
betawinese restaurant,"A restaurant serving Betawi cuisine, the traditional food of Jakarta, Indonesia."
sundanese restaurant,"A restaurant specializing in Sundanese cuisine from West Java, Indonesia, known for fresh vegetables and grilled dishes."
strip club,"An entertainment venue where performers dance erotically, often removing their clothing."
shrine,"A place regarded as holy, typically dedicated to a deity, saint, or other religious figure."
general surgeon,A physician specialized in performing a wide range of surgical procedures.
afghan restaurant,"A restaurant offering traditional Afghan dishes such as kebabs, rice pilaf, and dumplings."
housing development,A planned group of residential buildings constructed as a single project.
water treatment service,A facility or company that purifies and processes water for safe consumption or use.
street,"A public road in a city or town, typically with buildings on one or both sides."
tennis club,A sports club that provides facilities for playing tennis and related activities.
southwestern french restaurant,"A restaurant serving cuisine from the southwest of France, such as duck confit, cassoulet, and foie gras."
dive spot,"A location suitable for scuba diving, often featuring interesting underwater scenery or wildlife."
bistro,"A small, casual restaurant serving moderately priced meals in a relaxed setting."
jiangsu restaurant,"A restaurant specializing in Jiangsu cuisine from eastern China, known for its delicate flavors and presentation."
grilled meat restaurant,A restaurant focusing on meat dishes cooked over an open flame or grill.
textiles store,"A shop selling fabrics, cloth, and related materials for sewing or decoration."
pedestrian plaza,"A public space in a city designed for walking, gathering, and events, with no vehicle traffic."
rugby,"A team sport played with an oval ball that can be carried, passed, or kicked."
embassy or consulate,"An official government office representing a country in a foreign nation, providing diplomatic and citizen services."
hyderabadi restaurant,"A restaurant offering Hyderabadi cuisine from India, famous for its biryanis and spicy curries."
syrian restaurant,"A restaurant serving Syrian cuisine, featuring dishes like kebabs, hummus, and tabbouleh."
property management office,A business that oversees the maintenance and administration of rental properties.
hubei restaurant,"A restaurant specializing in Hubei cuisine from central China, known for its freshwater fish dishes."
trailer park,A residential area where mobile homes or trailers are located.
auditorium,"A large room or hall used for performances, lectures, or public gatherings."
racecourse,A track where horse races or other competitive races are held.
korean bbq restaurant,"A restaurant where diners cook marinated meats at their table on built-in grills, a style from Korea."
immigration attorney,A lawyer specializing in laws and procedures related to immigration and citizenship.
cha chaan teng,A Hong Kong-style café serving a fusion of Chinese and Western comfort foods.
limo service,A transportation company offering chauffeur-driven luxury cars for hire.
skate store,"A retail shop selling skateboards, skating equipment, and related apparel."
laundromat,A self-service facility with washing machines and dryers for public use.
racquet sport club,"A club offering facilities for sports played with racquets, such as tennis, squash, or badminton."
housing authority,A government agency responsible for providing and managing affordable housing.
research station,"A facility dedicated to scientific study, often in remote or specialized environments."
toy store,"A retail shop selling toys, games, and children's products."
dining and drinking,"A general term for places where people eat and drink, such as restaurants, cafés, and bars."
interior designer,A professional who plans and creates functional and aesthetically pleasing indoor spaces.
savoyard restaurant,"A restaurant serving cuisine from the Savoy region of France, often featuring cheese-based dishes like fondue and raclette."
employment agency,A business that matches job seekers with potential employers.
shaanxi restaurant,"A restaurant specializing in Shaanxi cuisine from northwestern China, known for its noodles and lamb dishes."
bridal store,"A shop selling wedding dresses, accessories, and related items."
neurologist,A doctor specializing in diagnosing and treating disorders of the nervous system.
promotional item service,A business providing customized items for marketing and advertising purposes.
public and social service,"An organization that provides assistance and support to the community, often funded by the government."
kofte place,"A restaurant or food stand specializing in kofte, spiced meatballs common in Middle Eastern and Balkan cuisine."
hong kong restaurant,"A restaurant serving dishes from Hong Kong cuisine, blending Cantonese traditions with international influences."
squash court,An indoor court where the sport of squash is played.
botanical garden,"A garden dedicated to the collection, cultivation, and display of a wide range of plants."
animal shelter,"A facility that houses and cares for stray, lost, or abandoned animals."
bus line,A public transportation service operating buses along a specific route.
hospital,A healthcare institution providing treatment and care for sick or injured people.
skating rink,A facility with a smooth surface for ice skating or roller skating.
aquarium,A facility where aquatic animals and plants are displayed for public viewing.
organic grocery,A store selling food and products produced without synthetic pesticides or chemicals.
gym,A facility equipped for physical exercise and training.
mobility store,A shop selling equipment and aids for people with mobility challenges.
indian restaurant,"A restaurant serving Indian cuisine, often rich in spices and diverse in regional dishes."
rental service,"A business that rents items, vehicles, or equipment to customers for a period of time."
tire repair shop,A shop specializing in fixing and replacing damaged tires for vehicles.
north indian restaurant,"A restaurant serving cuisine from northern India, such as curries, tandoori dishes, and naan bread."
warehouse,A large building where goods are stored before distribution or sale.
donut shop,A store specializing in selling donuts and related pastries.
martial arts dojo,A training hall where martial arts are taught and practiced.
ski lodge,"A building near ski slopes providing accommodation, food, and other amenities for skiers."
fence contractor,A professional or company that installs and repairs fences.
search engine marketing and optimization service,A service that helps businesses improve their visibility and ranking on search engines.
herbs and spices store,"A shop selling culinary herbs, spices, and seasonings."
marche restaurant,"A restaurant offering market-fresh ingredients in its dishes, often French-inspired."
basketball stadium,A large venue designed for hosting basketball games and events.
paper supplier,"A business that provides paper products for offices, schools, or other organizations."
sake bar,"A bar specializing in serving sake, the Japanese rice wine."
awadhi restaurant,"A restaurant offering Awadhi cuisine from Lucknow, India, known for slow-cooked kebabs and biryanis."
malga,A mountain hut or dairy farm in the Italian Alps where cheese is produced.
magirio,A Greek eatery specializing in traditional Greek home-cooked meals.
bathing area,"A designated space for swimming or bathing, often in a pool or natural water body."
mover,A company or person providing services to transport household or office goods from one location to another.
hiking trail,A path or route designed for walking and trekking in natural environments.
palatine restaurant,A restaurant serving cuisine from the Palatinate region of Germany.
boutique,"A small shop specializing in fashionable clothing, accessories, or luxury items."
market research and consulting service,A company providing analysis and advice on market trends and business strategies.
student center,"A building on a college campus providing services, activities, and meeting spaces for students."
southern food restaurant,"A restaurant serving cuisine from the southern United States, like fried chicken, barbecue, and collard greens."
ballroom,"A large room designed for formal dances, events, or social gatherings."
club house,A building used as a social center for members of a club or recreational facility.
fruit and vegetable store,A retail shop selling fresh fruits and vegetables.
souvlaki shop,"A restaurant or stand specializing in souvlaki, Greek grilled meat skewers."
irish pub,"A pub serving Irish-style food and drinks, often with traditional music and décor."
library,"A facility that houses books, media, and resources for public or educational use."
lounge,A comfortable area or bar for relaxing and socializing.
oil change service,A service center that replaces old motor oil with fresh oil in vehicles.
campanian restaurant,"A restaurant offering cuisine from the Campania region of Italy, including pizza and pasta dishes."
calabria restaurant,"A restaurant specializing in dishes from the Calabria region of Italy, often spicy and flavorful."
college track,"An athletic track at a college for running, jogging, or track and field events."
video games store,"A retail shop selling video games, consoles, and related accessories."
rock club,A venue that hosts live rock music performances.
ice bar,"A bar made entirely of ice, including walls, furniture, and drink glasses."
cycle studio,A fitness studio offering indoor cycling or spinning classes.
arts and entertainment,"A general term for venues, organizations, or activities related to art, music, theater, and other forms of entertainment."
kafenio,"A traditional Greek café serving coffee, drinks, and light snacks."
shopping plaza,A group of retail stores and businesses located in one complex.
mini golf course,"A small-scale, themed golf course designed for putting games."
synagogue,A Jewish house of worship and community gathering.
distillery,"A facility where alcoholic beverages, like whiskey or vodka, are produced."
senior citizen service,An organization providing support and services for elderly people.
escape room,A recreational game where participants solve puzzles to exit a themed room within a time limit.
scuba diving instructor,A professional who teaches people how to scuba dive safely and properly.
kushikatsu restaurant,"A Japanese restaurant specializing in kushikatsu, skewered and deep-fried meat or vegetables."
mongolian restaurant,"A restaurant offering Mongolian cuisine, often featuring stir-fried meats and vegetables."
flight school,An institution where individuals are trained to become pilots.
summer camp,"A program for children or teens during summer, offering recreational, educational, and social activities."
hawaiian restaurant,"A restaurant serving Hawaiian cuisine, including poke, seafood, and tropical dishes."
rafting spot,A location suitable for white-water rafting activities.
health and beauty service,"A business providing services related to personal care, wellness, and aesthetics."
hainan restaurant,"A restaurant specializing in Hainan cuisine from southern China, famous for chicken rice dishes."
medical supply store,A shop selling equipment and supplies for medical or healthcare purposes.
personal trainer,A professional who provides individualized fitness training and exercise guidance.
bridge,"A structure built to span obstacles like rivers, roads, or valleys to allow passage."
botanero,"A Spanish or Latin American eatery serving small snacks or tapas, often with drinks."
medical school,An educational institution training students to become doctors.
general travel,"Services or businesses offering trips, tours, and travel arrangements."
department store,"A large retail store selling a wide variety of goods, including clothing, electronics, and home items."
island,A landmass surrounded by water.
franconian restaurant,A restaurant serving cuisine from the Franconia region of Germany.
housewares store,"A shop selling household items like cookware, utensils, and home goods."
plaza,A public square or open area in a town or city.
bookstore,A retail shop selling books and reading materials.
fishing area,"A designated place where people can fish, often managed or stocked for recreation."
waste management service,A company or organization responsible for collecting and disposing of waste safely.
singaporean restaurant,"A restaurant serving Singaporean cuisine, which blends Chinese, Malay, Indian, and Western influences."
supermarket,A large store selling groceries and household items.
anesthesiologist,A medical doctor specializing in administering anesthesia and managing pain during surgery.
engineer,"A professional who designs, builds, or maintains machines, structures, or systems."
cave,A natural underground hollow or chamber in a rock formation.
harbor or marina,A sheltered place along the coast where boats and ships can dock or anchor.
