OSM_tag;OSM_path;OSM_description;FS_candidates;FS_scores;FS_tag_GPT;OSM_full_description;FS_manual_path;FS_manual_tag;correct;new_correct;OSM_main;OSM_main_sub
cable car;aerialway > cable car;A cable car run. Just one or two large cars. The traction cable forms a loop, but the cars do not loop around, they just move up and down on their own side, rolling along static cables over which they are suspended.;['cable car', 'train', 'intersection', 'tram station', 'plane', 'ski chairlift', 'towing service', 'taxi stand', 'transport hub', 'electric vehicle charging station', 'light rail station', 'climbing gym', 'street', 'rescue service', 'automotive retail', 'heliport', 'metro station', 'pedestrian plaza', 'transmissions shop', 'race track', 'platform', 'motorsports store', 'auto workshop', 'go kart track', 'hot air balloon tour agency', 'car parts accessories', 'transportation service', 'driving school', 'circus', 'limo service'];[0.6217359304428101, 0.3551778793334961, 0.3513522744178772, 0.3460535407066345, 0.30171525478363037, 0.29233869910240173, 0.27888768911361694, 0.2598227560520172, 0.2555178999900818, 0.2459307610988617, 0.2417498379945755, 0.23814606666564941, 0.23279394209384918, 0.22084322571754456, 0.21689942479133606, 0.21582409739494324, 0.21503399312496185, 0.21224592626094818, 0.211257666349411, 0.21100041270256042, 0.21096128225326538, 0.20781013369560242, 0.2065245658159256, 0.20588737726211548, 0.20446628332138062, 0.2042313516139984, 0.20383486151695251, 0.20336125791072845, 0.20319463312625885, 0.2021431028842926];cable car;A cable car run. Just one or two large cars. The traction cable forms a loop, but the cars do not loop around, they just move up and down on their own side, rolling along static cables over which they are suspended.;travel transportation > cable car;cable car;1;1;aerialway;aerialway > cable car
gondola;aerialway > gondola;An aerialway where the cabins go around in a circle.;['campground', 'heliport', 'cabin', 'mountain hut', 'lodge', 'resort', 'beach', 'platform', 'hot air balloon tour agency', 'great outdoors', 'skydiving drop zone', 'skydiving center', 'travel lounge', 'rv park', 'airport gate', 'island', 'cable car', 'harbor marina', 'plaza', 'sailing club', 'plane', 'boat launch', 'canal lock', 'travel agency', 'airport lounge', 'bridge', 'rafting spot', 'landmarks outdoors', 'rafting outfitter', 'tree'];[0.4323963224887848, 0.4263588786125183, 0.38365355134010315, 0.3728926181793213, 0.36949998140335083, 0.3483043909072876, 0.33705973625183105, 0.3365005850791931, 0.3332451581954956, 0.32913681864738464, 0.32306522130966187, 0.3128329813480377, 0.3101744055747986, 0.31001943349838257, 0.30920302867889404, 0.30848509073257446, 0.3053837716579437, 0.3043905198574066, 0.3002644181251526, 0.2940904498100281, 0.29195892810821533, 0.2910904884338379, 0.29087167978286743, 0.28983038663864136, 0.28720879554748535, 0.2849372327327728, 0.2848826050758362, 0.28358882665634155, 0.282940149307251, 0.2822309732437134];cable car;An aerialway where the cabins go around in a circle.;sports recreation > snow sports > ski resort area;ski resort area;0;0;aerialway;aerialway > gondola
mixed lift;aerialway > mixed lift;A mixed lift, containing both gondolas and chairs.;['ski chairlift', 'plane', 'heliport', 'airport gate', 'platform', 'airport lounge', 'wings joint', 'amphitheater', 'airfield', 'airport', 'travel lounge', 'skydiving center', 'private airport', 'airport service', 'gymnastics', 'hot air balloon tour agency', 'cable car', 'cabin', 'bridge', 'international airport', 'gozleme place', 'boarding house', 'upholstery service', 'golf driving range', 'bagel shop', 'skydiving drop zone', 'pier', 'rugby', 'travel agency', 'airport food court'];[0.40856632590293884, 0.3875163197517395, 0.3863084018230438, 0.33094707131385803, 0.32257455587387085, 0.3086990714073181, 0.29371508955955505, 0.2814350128173828, 0.2710493803024292, 0.2689049243927002, 0.2613862156867981, 0.2492305040359497, 0.24737563729286194, 0.23640935122966766, 0.23625533282756805, 0.23474210500717163, 0.23465469479560852, 0.23015332221984863, 0.22942247986793518, 0.22209356725215912, 0.22008992731571198, 0.2198875993490219, 0.21876755356788635, 0.21637818217277527, 0.21412375569343567, 0.20848895609378815, 0.20645183324813843, 0.2056216299533844, 0.20503976941108704, 0.20390436053276062];cable car;A mixed lift, containing both gondolas and chairs.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;0;0;aerialway;aerialway > mixed lift
chair lift;aerialway > chair lift;An open chairlift run. These have one or more seats or benches and are open to the outside air.;['ski chairlift', 'skydiving center', 'amphitheater', 'platform', 'airport gate', 'airport lounge', 'plane', 'heliport', 'skydiving drop zone', 'airport', 'outdoor gym', 'gymnastics', 'airfield', 'travel lounge', 'hot air balloon tour agency', 'yoga studio', 'picnic shelter', 'field', 'roof deck', 'pilates studio', 'athletic field', 'stable', 'private airport', 'international airport', 'structure', 'indoor play area', 'flight school', 'gym studio', 'gym', 'cabin'];[0.4358901381492615, 0.37696951627731323, 0.35391372442245483, 0.3276044726371765, 0.3262172341346741, 0.3206673264503479, 0.3176930546760559, 0.30783939361572266, 0.3049619197845459, 0.3038173317909241, 0.2973898947238922, 0.2899865508079529, 0.28363925218582153, 0.28320056200027466, 0.2816919982433319, 0.2681042551994324, 0.2679993212223053, 0.2632513642311096, 0.25826016068458557, 0.2579454779624939, 0.2541755735874176, 0.25378096103668213, 0.24718090891838074, 0.24647119641304016, 0.24223917722702026, 0.24203333258628845, 0.2415308952331543, 0.2380674183368683, 0.23524071276187897, 0.2297302484512329];ski chairlift;An open chairlift run. These have one or more seats or benches and are open to the outside air.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;aerialway;aerialway > chair lift
drag lift;aerialway > drag lift;An overhead tow-line for skiers and riders.;['ski chairlift', 'ski lodge', 'snow sports', 'rafting outfitter', 'cable car', 'ski store', 'ski trail', 'skydiving center', 'ski resort area', 'ski chalet', 'personal trainer', 'surfing', 'swimming', 'golf driving range', 'skydiving drop zone', 'apres ski bar', 'skating', 'sailing club', 'plane', 'hot air balloon tour agency', 'flight school', 'mountain hut', 'climbing gym', 'heliport', 'golf store', 'canoe kayak rental', 'race track', 'water sports', 'swim school', 'scuba diving instructor'];[0.6415678262710571, 0.4467814266681671, 0.4229992926120758, 0.4213843047618866, 0.4202190041542053, 0.41506555676460266, 0.41293084621429443, 0.41004663705825806, 0.40865635871887207, 0.4077652394771576, 0.37983638048171997, 0.37681663036346436, 0.3745255172252655, 0.362454354763031, 0.3538210988044739, 0.3496519923210144, 0.34708642959594727, 0.34644055366516113, 0.340304434299469, 0.33971884846687317, 0.3336372375488281, 0.3297216594219208, 0.32112956047058105, 0.31256935000419617, 0.31180664896965027, 0.3104082942008972, 0.30684980750083923, 0.3030700385570526, 0.3024836778640747, 0.3004763424396515];ski chairlift;An overhead tow-line for skiers and riders.;sports recreation > snow sports > ski resort area;ski resort area;0;1;aerialway;aerialway > drag lift
tbar;aerialway > tbar;An overhead tow-line for skiers and riders with T-shaped carriers for two passengers.;['ski chairlift', 'cable car', 'airport', 'ski store', 'plane', 'hot air balloon tour agency', 'train', 'airport gate', 'airport service', 'taxi', 'ski lodge', 'platform', 'international airport', 'rafting outfitter', 'ski chalet', 'resort', 'flight school', 'airfield', 'public transportation', 'transportation service', 'heliport', 'port', 'surfing', 'apres ski bar', 'skydiving center', 'ski resort area', 'ski trail', 'canoe kayak rental', 'mountain hut', 'tram station'];[0.5058327317237854, 0.4414774179458618, 0.40549206733703613, 0.40311330556869507, 0.3903105854988098, 0.380329430103302, 0.37621212005615234, 0.37332528829574585, 0.3654072880744934, 0.36429280042648315, 0.3556199073791504, 0.35213392972946167, 0.3495420217514038, 0.34103795886039734, 0.34084802865982056, 0.3311421871185303, 0.3301810026168823, 0.32996708154678345, 0.3295254707336426, 0.32663118839263916, 0.3217959403991699, 0.3205415606498718, 0.3204939365386963, 0.31709930300712585, 0.31198281049728394, 0.3103233575820923, 0.3096065819263458, 0.30608731508255005, 0.30567049980163574, 0.305020272731781];ski chairlift;An overhead tow-line for skiers and riders with T-shaped carriers for two passengers.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;aerialway;aerialway > tbar
jbar;aerialway > jbar;J-bar lift or L-bar lift. Overhead tow-line for skiers and riders with carriers in J-shape.;['ski chairlift', 'ski store', 'rafting outfitter', 'climbing gym', 'personal trainer', 'cable car', 'ski lodge', 'ski resort area', 'apres ski bar', 'golf store', 'ski chalet', 'surf store', 'ski trail', 'yoga studio', 'gym', 'skydiving center', 'gym studio', 'outdoor gym', 'plane', 'snow sports', 'surfing', 'heliport', 'sporting goods retail', 'canoe kayak rental', 'gymnastics center', 'golf driving range', 'hookah bar', 'airport gate', 'airport', 'skydiving drop zone'];[0.5057717561721802, 0.38095441460609436, 0.34789931774139404, 0.3412107229232788, 0.34017401933670044, 0.34015601873397827, 0.33976197242736816, 0.33478063344955444, 0.32483649253845215, 0.3206707835197449, 0.314008891582489, 0.30660492181777954, 0.30431708693504333, 0.3018948435783386, 0.29957273602485657, 0.29872584342956543, 0.29803580045700073, 0.2968686521053314, 0.29665523767471313, 0.2956671714782715, 0.2921385169029236, 0.2897728383541107, 0.2820088863372803, 0.2815796136856079, 0.27204686403274536, 0.2720155119895935, 0.26938357949256897, 0.26169833540916443, 0.26042675971984863, 0.26028722524642944];ski chairlift;J-bar lift or L-bar lift. Overhead tow-line for skiers and riders with carriers in J-shape.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;aerialway;aerialway > jbar
platter;aerialway > platter;An overhead tow-line for skiers and riders with platters.;['ski chairlift', 'ski lodge', 'ski store', 'rafting outfitter', 'ski chalet', 'cable car', 'apres ski bar', 'ski resort area', 'snow sports', 'disc golf', 'sailing club', 'golf driving range', 'surfing', 'ski trail', 'fishing store', 'surf store', 'fishing area', 'climbing gym', 'hockey rink', 'sports recreation', 'golf store', 'skydiving center', 'board store', 'sports bar', 'canoe kayak rental', 'hockey', 'hot air balloon tour agency', 'playground', 'equipment rental service', 'hockey club'];[0.5856418609619141, 0.4899660348892212, 0.42891162633895874, 0.40426304936408997, 0.3988094925880432, 0.39284569025039673, 0.39096778631210327, 0.38567379117012024, 0.38350164890289307, 0.3291324973106384, 0.32135677337646484, 0.32102447748184204, 0.31946998834609985, 0.3083270192146301, 0.30744072794914246, 0.2936599552631378, 0.2927013635635376, 0.290927916765213, 0.28705886006355286, 0.2854057550430298, 0.28440290689468384, 0.2818167507648468, 0.28118473291397095, 0.2807113230228424, 0.28016793727874756, 0.27960512042045593, 0.2792074382305145, 0.27703896164894104, 0.2765912413597107, 0.2747543454170227];ski chairlift;An overhead tow-line for skiers and riders with platters.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;aerialway;aerialway > platter
rope tow;aerialway > rope tow;A tow-line for skiers and riders where passenger hold by hand or use special tow grabbers.;['ski chairlift', 'cable car', 'ski store', 'rafting outfitter', 'ski resort area', 'ski trail', 'ski lodge', 'swimming', 'apres ski bar', 'snow sports', 'personal trainer', 'canal lock', 'fishing store', 'ski chalet', 'towing service', 'golf store', 'skydiving center', 'climbing gym', 'canoe kayak rental', 'fishing area', 'sailing club', 'golf driving range', 'surf store', 'surfing', 'soccer', 'skydiving drop zone', 'sports recreation', 'rv park', 'hunting supply store', 'sporting goods retail'];[0.607961893081665, 0.4470427930355072, 0.4450033903121948, 0.4437304735183716, 0.39635634422302246, 0.3936893343925476, 0.3894526958465576, 0.386563241481781, 0.37922215461730957, 0.35787421464920044, 0.3576609194278717, 0.3450161814689636, 0.3411094546318054, 0.3382301926612854, 0.3359932601451874, 0.33572182059288025, 0.3321165442466736, 0.3310481905937195, 0.3306828439235687, 0.32870733737945557, 0.3278246223926544, 0.32304269075393677, 0.32034820318222046, 0.3192892372608185, 0.3176088035106659, 0.31674182415008545, 0.31507086753845215, 0.3130331337451935, 0.30536818504333496, 0.30180811882019043];ski resort area;A tow-line for skiers and riders where passenger hold by hand or use special tow grabbers.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;0;0;aerialway;aerialway > rope tow
magic carpet;aerialway > magic carpet;A ski lift for small children resembling a conveyor belt.;['ski chairlift', 'ski store', 'playground', 'ski trail', 'carpet store', 'gymnastics', 'circus school', 'carpet flooring contractor', 'toy store', 'childrens clothing store', 'circus', 'baby store', 'skydiving center', 'dive store', 'skating rink', 'gymnastics center', 'amusement park', 'skate store', 'cable car', 'surf store', 'leather goods store', 'heliport', 'skating', 'ski resort area', 'daycare', 'ski lodge', 'child care service', 'hot air balloon tour agency', 'skydiving drop zone', 'indoor play area'];[0.5093278884887695, 0.4117966294288635, 0.3912280201911926, 0.3901585042476654, 0.37886735796928406, 0.3659524917602539, 0.3629763126373291, 0.3548557460308075, 0.33588558435440063, 0.3292367458343506, 0.3269873857498169, 0.3257448673248291, 0.32314348220825195, 0.31842607259750366, 0.3138383626937866, 0.3131667375564575, 0.30962488055229187, 0.30611300468444824, 0.3044988214969635, 0.3044068217277527, 0.3012964725494385, 0.29924944043159485, 0.29569190740585327, 0.2896713614463806, 0.2873726487159729, 0.2856639623641968, 0.2852967381477356, 0.28484871983528137, 0.2820201516151428, 0.2811996638774872];ski chairlift;A ski lift for small children resembling a conveyor belt.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;aerialway;aerialway > magic carpet
