OSM_tag;OSM_full_description;OSM_path;FS_manual_path;FS_tag
dairy;Shop focused on selling dairy products.;shop > food beverages > dairy;retail > food beverage retail > dairy store;dairy store
chocolate;Shop focused on selling chocolate.;shop > food beverages > chocolate;retail > food beverage retail > chocolate store;chocolate store
wine;Shop selling wine.;shop > food beverages > wine;retail > food beverage retail > wine store;wine store
cheese;Shop focused on selling cheese.;shop > food beverages > cheese;retail > food beverage retail > cheese store;cheese store
confectionery;Shop focused on selling sweets or candy;shop > food beverages > confectionery;retail > food beverage retail > candy store;candy store
seafood;Shop focused on selling fish/seafood.;shop > food beverages > seafood;retail > food beverage retail > fish market;fish market
leather;Shop focused on selling products made out of leather.;shop > clothing shoes accessories > leather;retail > leather goods store;leather goods store
greengrocer;Shop focused on selling vegetables and fruits.;shop > food beverages > greengrocer;retail > food beverage retail > fruit vegetable store;fruit vegetable store
cannabis;a shop primarily and legally selling non-medical cannabis products;shop > others > cannabis;retail > cannabis store;cannabis store
planetarium;A planetarium.;amenity > entertainment arts culture > planetarium;arts entertainment > planetarium;planetarium
jewelry;Jewellers shops.;shop > clothing shoes accessories > jewelry;retail > fashion retail > jewelry store;jewelry store
blood bank;Blood bank;healthcare > blood bank;health medicine > blood bank;blood bank
disc golf course;A place to play disc golf.;leisure > disc golf course;arts entertainment > disc golf course;disc golf course
spices;Shop focused on selling spices.;shop > food beverages > spices;retail > food beverage retail > herbs spices store;herbs spices store
coffee;Shop focused on selling coffee.;shop > food beverages > coffee;dining drinking > cafe coffee tea house > coffee shop;coffee shop
boutique;A small shopping outlet, especially one that specializes in elite and fashionable items;shop > clothing shoes accessories > boutique;retail > boutique;boutique
shoes;Shop focused on selling shoes.;shop > clothing shoes accessories > shoes;retail > fashion retail > shoe store;shoe store
charging station;Charging facility for electric vehicles;amenity > transportation > charging station;travel transportation > electric vehicle charging station;electric vehicle charging station
swimming pool;A store that sells swimming pool equipment and supplies.;shop > outdoors sport vehicles > swimming pool;retail > swimming pool supply store;swimming pool supply store
lighting;A shop selling lighting fixtures and lamps.;shop > furniture interior > lighting;retail > furniture home store > lighting store;lighting store
medical supply;Shop focused on selling medical supplies.;shop > health beauty > medical supply;retail > medical supply store;medical supply store
dance;A dance venue or dance hall.;leisure > dance;arts entertainment > dance hall;dance hall
