OSM_tag;OSM_full_description;OSM_path;FS_manual_path;FS_tag;mod_1_FI_tag;mod_1_FI_ss;mod_1_FI_correct;mod_2_FI_tag;mod_2_FI_ss;mod_2_FI_correct;mod_3_FI_tag;mod_3_FI_ss;mod_3_FI_correct;mod_4_FI_tag;mod_4_FI_ss;mod_4_FI_correct;mod_5_FI_tag;mod_5_FI_ss;mod_5_FI_correct;mod_6_FI_tag;mod_6_FI_ss;mod_6_FI_correct;mod_7_FI_tag;mod_7_FI_ss;mod_7_FI_correct;mod_8_FI_tag;mod_8_FI_ss;mod_8_FI_correct;mod_1_FID_tag;mod_1_FID_ss;mod_1_FID_correct;mod_2_FID_tag;mod_2_FID_ss;mod_2_FID_correct;mod_3_FID_tag;mod_3_FID_ss;mod_3_FID_correct;mod_4_FID_tag;mod_4_FID_ss;mod_4_FID_correct;mod_5_FID_tag;mod_5_FID_ss;mod_5_FID_correct;mod_6_FID_tag;mod_6_FID_ss;mod_6_FID_correct;mod_7_FID_tag;mod_7_FID_ss;mod_7_FID_correct;mod_8_FID_tag;mod_8_FID_ss;mod_8_FID_correct
dairy;Shop focused on selling dairy products.;shop > food beverages > dairy;retail > food beverage retail > dairy store;dairy store;dairy store;0.8196918964385986;1;dairy store;0.7619812488555908;1;dairy store;0.77202969789505;1;dairy store;0.7545637488365173;1;dairy store;0.8725076913833618;1;dairy store;0.8856650590896606;1;dairy store;0.8481318950653076;1;dairy store;0.8384601473808289;1;dairy store;0.8373773097991943;1;dairy store;0.8400872945785522;1;dairy store;0.8103681802749634;1;dairy store;0.8196438550949097;1;dairy store;0.8774939775466919;1;dairy store;0.8796778917312622;1;dairy store;0.8550700545310974;1;dairy store;0.8743962049484253;1
chocolate;Shop focused on selling chocolate.;shop > food beverages > chocolate;retail > food beverage retail > chocolate store;chocolate store;chocolate store;0.8591179847717285;1;chocolate store;0.761547327041626;1;chocolate store;0.8072865009307861;1;chocolate store;0.7871835231781006;1;chocolate store;0.8796153664588928;1;chocolate store;0.8727665543556213;1;chocolate store;0.8266268968582153;1;chocolate store;0.8311971426010132;1;chocolate store;0.847732663154602;1;chocolate store;0.762020468711853;1;chocolate store;0.8345892429351807;1;chocolate store;0.7649168372154236;1;chocolate store;0.8641810417175293;1;chocolate store;0.8796864151954651;1;chocolate store;0.8286062479019165;1;chocolate store;0.8048851490020752;1
wine;Shop selling wine.;shop > food beverages > wine;retail > food beverage retail > wine store;wine store;wine store;0.851762592792511;1;wine store;0.7576756477355957;1;wine store;0.805916965007782;1;wine store;0.7790105938911438;1;wine store;0.8956568241119385;1;wine store;0.8753490447998047;1;wine store;0.8436951637268066;1;wine store;0.8276869058609009;1;wine store;0.9181908965110779;1;wine store;0.8592323064804077;1;wine store;0.8431513905525208;1;wine store;0.8070663213729858;1;wine store;0.928301990032196;1;wine store;0.9099870920181274;1;wine store;0.8902510404586792;1;wine store;0.8980192542076111;1
cheese;Shop focused on selling cheese.;shop > food beverages > cheese;retail > food beverage retail > cheese store;cheese store;cheese store;0.8474748134613037;1;cheese store;0.7652135491371155;1;cheese store;0.8114176988601685;1;cheese store;0.7904702425003052;1;cheese store;0.8759811520576477;1;cheese store;0.8655267953872681;1;cheese store;0.8494249582290649;1;cheese store;0.8435242176055908;1;cheese store;0.8508005142211914;1;cheese store;0.8098021745681763;1;cheese store;0.8508263826370239;1;cheese store;0.7897889018058777;1;cheese store;0.8743298053741455;1;cheese store;0.8956931829452515;1;cheese store;0.8484958410263062;1;cheese store;0.8370684385299683;1
confectionery;Shop focused on selling sweets or candy;shop > food beverages > confectionery;retail > food beverage retail > candy store;candy store;candy store;0.8021367192268372;1;candy store;0.7398961782455444;1;candy store;0.7587456703186035;1;candy store;0.8145092725753784;1;candy store;0.9017602801322937;1;candy store;0.8549474477767944;1;candy store;0.7658986449241638;1;candy store;0.8207625150680542;1;candy store;0.9108884334564209;1;candy store;0.880629301071167;1;candy store;0.8699213862419128;1;dessert shop;0.7662787437438965;0;candy store;0.9385523200035095;1;candy store;0.9265844225883484;1;candy store;0.8263495564460754;1;candy store;0.9055161476135254;1
seafood;Shop focused on selling fish/seafood.;shop > food beverages > seafood;retail > food beverage retail > fish market;fish market;fish market;0.8098403811454773;1;fish market;0.7797037363052368;1;fish market;0.7919402122497559;1;fish market;0.8345686793327332;1;fish market;0.8884528875350952;1;meat seafood store;0.8729068040847778;0;fish market;0.8171026706695557;1;fish market;0.8472181558609009;1;fish market;0.8452906608581543;1;fish market;0.8031778335571289;1;fish market;0.8141398429870605;1;fish market;0.7922018766403198;1;fish market;0.896913468837738;1;fish market;0.8905777931213379;1;fish market;0.8284965753555298;1;fish market;0.8681793808937073;1
leather;Shop focused on selling products made out of leather.;shop > clothing shoes accessories > leather;retail > leather goods store;leather goods store;leather goods store;0.7108064293861389;1;leather goods store;0.737496018409729;1;leather goods store;0.80751633644104;1;fashion accessories store;0.7442845106124878;0;leather goods store;0.8589050769805908;1;leather goods store;0.8181343078613281;1;leather goods store;0.7863342761993408;1;leather goods store;0.7178919315338135;1;fashion retail;0.847079873085022;0;leather goods store;0.7946360111236572;1;leather goods store;0.8284097909927368;1;leather goods store;0.8030630946159363;1;leather goods store;0.8778993487358093;1;leather goods store;0.8578437566757202;1;leather goods store;0.8439251184463501;1;leather goods store;0.7602007985115051;1
greengrocer;Shop focused on selling vegetables and fruits.;shop > food beverages > greengrocer;retail > food beverage retail > fruit vegetable store;fruit vegetable store;fruit vegetable store;0.7767239809036255;1;fruit vegetable store;0.7273532152175903;1;fruit vegetable store;0.7921900153160095;1;farmers market;0.770645260810852;0;fruit vegetable store;0.8745824098587036;1;fruit vegetable store;0.8559378385543823;1;fruit vegetable store;0.7474254965782166;1;fruit vegetable store;0.7930256128311157;1;fruit vegetable store;0.8227719664573669;1;fruit vegetable store;0.7805310487747192;1;fruit vegetable store;0.8052296042442322;1;fruit vegetable store;0.7528914213180542;1;fruit vegetable store;0.8888603448867798;1;fruit vegetable store;0.8422691822052002;1;fruit vegetable store;0.7685274481773376;1;fruit vegetable store;0.8238434791564941;1
cannabis;a shop primarily and legally selling non-medical cannabis products;shop > others > cannabis;retail > cannabis store;cannabis store;cannabis store;0.6868255734443665;1;cannabis store;0.5777644515037537;1;cannabis store;0.6972669363021851;1;cannabis store;0.772405743598938;1;cannabis store;0.8321957588195801;1;cannabis store;0.8027868270874023;1;cannabis store;0.7446892261505127;1;cannabis store;0.664729118347168;1;marijuana dispensary;0.8131557106971741;0;cannabis store;0.7386151552200317;1;marijuana dispensary;0.7235186696052551;0;cannabis store;0.7709242701530457;1;cannabis store;0.8484290838241577;1;cannabis store;0.866287112236023;1;marijuana dispensary;0.7917978167533875;0;cannabis store;0.7654786109924316;1
planetarium;A planetarium.;amenity > entertainment arts culture > planetarium;arts entertainment > planetarium;planetarium;planetarium;0.8575858473777771;1;planetarium;0.874713659286499;1;planetarium;0.8798395991325378;1;planetarium;0.8898681998252869;1;planetarium;0.9110362529754639;1;planetarium;0.8946599364280701;1;planetarium;0.8472187519073486;1;planetarium;0.8856992721557617;1;general entertainment;0.6466291546821594;0;planetarium;0.6545493602752686;1;planetarium;0.7435410022735596;1;planetarium;0.7296186685562134;1;planetarium;0.7632971405982971;1;planetarium;0.7398340106010437;1;general entertainment;0.6733194589614868;0;planetarium;0.6913921236991882;1
jewelry;Jewellers shops.;shop > clothing shoes accessories > jewelry;retail > fashion retail > jewelry store;jewelry store;jewelry store;0.769800066947937;1;jewelry store;0.7522996664047241;1;jewelry store;0.7817692160606384;1;jewelry store;0.7007982730865479;1;jewelry store;0.8728569149971008;1;jewelry store;0.7996814250946045;1;jewelry store;0.8023963570594788;1;jewelry store;0.7132601141929626;1;fashion retail;0.8495651483535767;0;fashion retail;0.8293092250823975;0;fashion retail;0.7717276811599731;0;jewelry store;0.6837021112442017;1;jewelry store;0.8310537338256836;1;fashion accessories store;0.7837774753570557;0;jewelry store;0.77669358253479;1;fashion retail;0.7403081655502319;0
blood bank;Blood bank;healthcare > blood bank;health medicine > blood bank;blood bank;blood bank;0.9459893107414246;1;blood bank;0.932528555393219;1;blood bank;0.9445697069168091;1;blood bank;0.9193580746650696;1;blood bank;0.9278147220611572;1;blood bank;0.9274139404296875;1;blood bank;0.9468815326690674;1;blood bank;0.9498853087425232;1;blood bank;0.8288837671279907;1;blood bank;0.7924150824546814;1;blood bank;0.7390673160552979;1;blood bank;0.8435930609703064;1;blood bank;0.788780927658081;1;blood bank;0.7898105382919312;1;blood bank;0.8146851062774658;1;blood bank;0.8141264915466309;1
disc golf course;A place to play disc golf.;leisure > disc golf course;arts entertainment > disc golf course;disc golf course;golf course;0.8564856052398682;0;disc golf course;0.854672372341156;1;disc golf course;0.7864975929260254;1;disc golf course;0.8573005795478821;1;disc golf course;0.8905845880508423;1;golf course;0.8374640941619873;0;disc golf course;0.8704372644424438;1;disc golf course;0.8105214834213257;1;disc golf course;0.8782448768615723;1;disc golf course;0.8681454658508301;1;disc golf course;0.7744289636611938;1;disc golf course;0.8679234385490417;1;disc golf course;0.8976074457168579;1;disc golf course;0.8244695067405701;1;disc golf course;0.8396267890930176;1;disc golf course;0.8362609148025513;1
spices;Shop focused on selling spices.;shop > food beverages > spices;retail > food beverage retail > herbs spices store;herbs spices store;herbs spices store;0.8020491003990173;1;herbs spices store;0.7731921672821045;1;herbs spices store;0.8236374258995056;1;herbs spices store;0.7575819492340088;1;herbs spices store;0.8272758722305298;1;herbs spices store;0.8606908321380615;1;herbs spices store;0.7404397130012512;1;herbs spices store;0.8392584323883057;1;herbs spices store;0.8268853425979614;1;herbs spices store;0.811476469039917;1;herbs spices store;0.8325896263122559;1;herbs spices store;0.7643137574195862;1;herbs spices store;0.825888991355896;1;herbs spices store;0.859381914138794;1;herbs spices store;0.7540559768676758;1;herbs spices store;0.8451007604598999;1
coffee;Shop focused on selling coffee.;shop > food beverages > coffee;dining drinking > cafe coffee tea house > coffee shop;coffee shop;coffee roaster;0.7515916228294373;0;coffee roaster;0.6917631030082703;0;coffee roaster;0.7117501497268677;0;coffee roaster;0.7776899933815002;0;coffee roaster;0.8310667276382446;0;coffee roaster;0.745073676109314;0;coffee roaster;0.796596348285675;0;coffee roaster;0.763623833656311;0;beer store;0.7364015579223633;0;grocery store;0.6955674886703491;0;coffee roaster;0.7168684005737305;0;coffee roaster;0.76715087890625;0;coffee roaster;0.7409847974777222;0;beer store;0.7477067708969116;0;food beverage retail;0.7344838380813599;0;coffee roaster;0.7635400295257568;0
boutique;A small shopping outlet, especially one that specializes in elite and fashionable items;shop > clothing shoes accessories > boutique;retail > boutique;boutique;shoe store;0.810918927192688;0;fashion accessories store;0.7600833177566528;0;fashion accessories store;0.7495205998420715;0;fashion accessories store;0.7851101756095886;0;shoe store;0.8559755086898804;0;shoe store;0.791413426399231;0;fashion accessories store;0.7916123270988464;0;fashion accessories store;0.7822704315185547;0;boutique;0.8524060249328613;1;boutique;0.8253388404846191;1;boutique;0.8356481194496155;1;boutique;0.8354287147521973;1;fashion retail;0.8974888324737549;0;boutique;0.8746686577796936;1;boutique;0.8777419924736023;1;boutique;0.8201414346694946;1
shoes;Shop focused on selling shoes.;shop > clothing shoes accessories > shoes;retail > fashion retail > shoe store;shoe store;shoe store;0.7850595712661743;1;fashion accessories store;0.7215580940246582;0;shoe store;0.7639537453651428;1;shoe store;0.7920597791671753;1;shoe store;0.8577249646186829;1;shoe store;0.8101191520690918;1;shoe store;0.7791037559509277;1;shoe store;0.7142519950866699;1;fashion retail;0.9114769697189331;0;fashion retail;0.911832332611084;0;fashion retail;0.8502231240272522;0;fashion retail;0.7975788712501526;0;fashion retail;0.9171127676963806;0;fashion retail;0.8736802339553833;0;fashion retail;0.8442267179489136;0;fashion retail;0.8437577486038208;0
charging station;Charging facility for electric vehicles;amenity > transportation > charging station;travel transportation > electric vehicle charging station;electric vehicle charging station;electric vehicle charging station;0.8026913404464722;1;electric vehicle charging station;0.8118541240692139;1;electric vehicle charging station;0.8038162589073181;1;electric vehicle charging station;0.8099051117897034;1;electric vehicle charging station;0.8519554138183594;1;electric vehicle charging station;0.9205060005187988;1;electric vehicle charging station;0.8844667077064514;1;electric vehicle charging station;0.8332092761993408;1;electric vehicle charging station;0.7380807399749756;1;electric vehicle charging station;0.7627291083335876;1;electric vehicle charging station;0.7947403192520142;1;electric vehicle charging station;0.8138605356216431;1;electric vehicle charging station;0.820857048034668;1;electric vehicle charging station;0.8729431629180908;1;electric vehicle charging station;0.8427679538726807;1;electric vehicle charging station;0.819778323173523;1
swimming pool;A store that sells swimming pool equipment and supplies.;shop > outdoors sport vehicles > swimming pool;retail > swimming pool supply store;swimming pool supply store;swimming pool supply store;0.8177140951156616;1;swimming pool supply store;0.7342574596405029;1;swimming pool supply store;0.793330192565918;1;surf store;0.7017764449119568;0;swimming pool supply store;0.8306697010993958;1;swimming pool supply store;0.7016357183456421;1;swimming pool supply store;0.8068777918815613;1;swimming pool supply store;0.7742280960083008;1;swimming pool supply store;0.8693820238113403;1;swimming pool supply store;0.7655752301216125;1;swimming pool supply store;0.7979683876037598;1;swimming pool supply store;0.6984049081802368;1;swimming pool supply store;0.8803820610046387;1;swimming pool supply store;0.7399970889091492;1;swimming pool supply store;0.8435851335525513;1;swimming pool supply store;0.8058857917785645;1
