OSM_tag;OSM_path;OSM_description;FS_candidates;FS_scores;FS_tag_GPT;OSM_full_description;FS_manual_path;FS_manual_tag;correct;correct_in_k;correct_embedding;correct_in_k_or_main;OSM_main;OSM_main_sub
cable car;aerialway > cable car;A cable car run. Just one or two large cars. The traction cable forms a loop, but the cars do not loop around, they just move up and down on their own side, rolling along static cables over which they are suspended.;['cable car', 'taxi stand', 'electric vehicle charging station', 'platform', 'tram station'];[0.598671555519104, 0.3071759045124054, 0.29470929503440857, 0.29320812225341797, 0.2829093635082245];cable car;A cable car run. Just one or two large cars. The traction cable forms a loop, but the cars do not loop around, they just move up and down on their own side, rolling along static cables over which they are suspended.;travel transportation > cable car;cable car;1;1;1;1;aerialway;aerialway > cable car
gondola;aerialway > gondola;An aerialway where the cabins go around in a circle.;['cabin', 'campground', 'travel lounge', 'lodge', 'motel'];[0.45079126954078674, 0.4183979332447052, 0.40174227952957153, 0.38747546076774597, 0.3830811381340027];cabin;An aerialway where the cabins go around in a circle.;sports recreation > snow sports > ski resort area;ski resort area;0;0;0;0;aerialway;aerialway > gondola
mixed lift;aerialway > mixed lift;A mixed lift, containing both gondolas and chairs.;['ski chairlift', 'travel lounge', 'wings joint', 'boarding house', 'airport lounge'];[0.4349488615989685, 0.3579840064048767, 0.32115426659584045, 0.31302544474601746, 0.301626056432724];ski chairlift;A mixed lift, containing both gondolas and chairs.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;1;1;aerialway;aerialway > mixed lift
chair lift;aerialway > chair lift;An open chairlift run. These have one or more seats or benches and are open to the outside air.;['ski chairlift', 'travel lounge', 'skydiving center', 'airport lounge', 'outdoor gym'];[0.5001718997955322, 0.3591412603855133, 0.3480420708656311, 0.34542644023895264, 0.31976139545440674];ski chairlift;An open chairlift run. These have one or more seats or benches and are open to the outside air.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;1;1;aerialway;aerialway > chair lift
drag lift;aerialway > drag lift;An overhead tow-line for skiers and riders.;['ski chairlift', 'ski chalet', 'ski lodge', 'ski trail', 'ski store'];[0.5556505918502808, 0.48668426275253296, 0.47208401560783386, 0.4708236753940582, 0.43823522329330444];ski chairlift;An overhead tow-line for skiers and riders.;sports recreation > snow sports > ski resort area;ski resort area;0;0;0;0;aerialway;aerialway > drag lift
tbar;aerialway > tbar;An overhead tow-line for skiers and riders with T-shaped carriers for two passengers.;['ski chairlift', 'ski store', 'platform', 'hot air balloon tour agency', 'ski chalet'];[0.42591989040374756, 0.39768365025520325, 0.3761533796787262, 0.3738209009170532, 0.3738085627555847];ski chairlift;An overhead tow-line for skiers and riders with T-shaped carriers for two passengers.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;1;1;aerialway;aerialway > tbar
jbar;aerialway > jbar;J-bar lift or L-bar lift. Overhead tow-line for skiers and riders with carriers in J-shape.;['ski chairlift', 'ski store', 'apres ski bar', 'ski chalet', 'ski trail'];[0.4725956320762634, 0.4018324315547943, 0.38732731342315674, 0.37522944808006287, 0.3638416528701782];ski chairlift;J-bar lift or L-bar lift. Overhead tow-line for skiers and riders with carriers in J-shape.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;1;1;aerialway;aerialway > jbar
platter;aerialway > platter;An overhead tow-line for skiers and riders with platters.;['ski chairlift', 'apres ski bar', 'ski chalet', 'ski store', 'ski lodge'];[0.505675733089447, 0.45501789450645447, 0.43423953652381897, 0.43394213914871216, 0.4336254596710205];ski chairlift;An overhead tow-line for skiers and riders with platters.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;1;1;aerialway;aerialway > platter
rope tow;aerialway > rope tow;A tow-line for skiers and riders where passenger hold by hand or use special tow grabbers.;['ski chairlift', 'ski trail', 'ski store', 'ski chalet', 'personal trainer'];[0.5141677260398865, 0.4640553593635559, 0.4427856206893921, 0.4425865411758423, 0.4291485548019409];ski chairlift;A tow-line for skiers and riders where passenger hold by hand or use special tow grabbers.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;1;1;aerialway;aerialway > rope tow
magic carpet;aerialway > magic carpet;A ski lift for small children resembling a conveyor belt.;['ski chairlift', 'ski store', 'carpet store', 'ski trail', 'ski chalet'];[0.4634220600128174, 0.41741079092025757, 0.37508898973464966, 0.3728705644607544, 0.35653093457221985];ski chairlift;A ski lift for small children resembling a conveyor belt.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;1;1;aerialway;aerialway > magic carpet
